area,indoor(out),tour_site,explain
성산,실내,만장굴,춥다고 느낄정도로 시원하며 작은 석순과 유석을 볼 수 있어 멋있습니다.
성산,실내,아쿠아플라넷, 다양한 물고기들이 있고 상어와 가오리가 지나가는 걸 꼭 보세요.
성산,실외,비자림,안개가 몽환적이며 색다른 분위기와 피톤치드 공기를 마실 수 있습니다.
성산,실외,성산일출봉, 제주의 명소 중 대표적인 랜드마크이며 풍광과 아름다운 경치를 볼 수 있습니다.
성산,실외,섭지코지, 성산일출봉 풍경을 바라볼 수 있고 자연경관이 좋고 산책하기 좋습니다.
고산,실내,아르떼뮤지엄, 현대영상기술로 인한 시각적으로 풍부한 경험을 할 수 있습니다.
고산,실내,피규어뮤지엄,액션피규어와 실물크기의 영화캐릭터들의 대형 피규어가 있습니다.
고산,실내,오설록 티 뮤지엄, 녹차밭을 구경할 수 있고, 다양한 먹거리가 있습니다. 
고산,실내,애월더선셋카페,애월해수욕장이 보여서 힐링할 수있는 공간입니다.
고산,실외,여름엔 판포포구 스노쿨링 추천 실외수영장 느낌이 들고 물이깊어 수영에 자신있다면 추천합니다.
고산,실외,금악오름,연못을 품은 신비로운 서쪽 언덕입니다.
서귀포,실내,테디베어박물관, 아이가 있다면 추천하며 움직이고 소리나는 인형들을 구경할 수 있습니다.
서귀포,실내,더클리프 카페, 즐거운 음악과 함께 해변을 바라볼 수 있는 곳입니다.
서귀포,실외,요트투어,더운여름에 요트로 바다를 달려보세요. 시원하고 힐링할 수 있습니다.
서귀포,실외,카멜리아힐, 사계절 내내 예쁜 식물들과 꽃을 볼 수있고 산책하기 좋은 곳입니다.
서귀포,실외,용머리해안, 물때에 맞춰 가야하며 풍화작용으로 깎여나간 절벽과 부서지는 파도소리는 예술입니다.
제주,실내,사진놀이터, 다양한 사진들을 찍을 수 있는 멋진 공간입니다.
제주,실내,모이소, 없는 거 빼고 다 있는 제주도 소품샵입니다.
제주,실내,델문도카페, 함덕해수욕장이 눈앞에 있고 인증샷을 건질 수 있습니다.
제주,실내,피규어 뮤지엄, 마블 / 디씨 / 디즈니 등 다양한 히어로 피규어를 볼 수 있습니다.
제주,실외,한라수목원, 공항근처이며 가볍게 산책하기 좋습니다.
제주,실외,한담해안산책로, 제주의 매력이 보이는 해안산책로입니다.

